1 SHINY GOLD | dark cyan
2 DARK CYAN | light salmon
2 SHINY GOLD | dull coral
3 DARK CYAN | dotted gray
3 DULL CORAL | mirrored chartreuse
3 SHINY GOLD | clear gold
4 CLEAR GOLD | pale beige
4 DARK CYAN | light plum
4 DOTTED GRAY | striped purple
4 DULL CORAL | clear gray
4 MIRRORED CHARTREUSE | striped olive
5 CLEAR GRAY | dotted maroon
5 DARK CYAN | light indigo
5 MIRRORED CHARTREUSE | plaid green
5 PALE BEIGE | light violet
5 STRIPED OLIVE | faded blue
5 STRIPED PURPLE | striped plum
6 CLEAR GRAY | vibrant plum
6 DARK CYAN | faded orange
6 LIGHT INDIGO | drab plum
6 MIRRORED CHARTREUSE | mirrored red
6 PALE BEIGE | drab turquoise
6 PLAID GREEN | wavy blue
6 STRIPED PLUM | striped orange
6 STRIPED PURPLE | dull orange
7 CLEAR GRAY | light cyan
7 DARK CYAN | wavy lime
7 DRAB TURQUOISE | dotted indigo
7 LIGHT INDIGO | mirrored olive
7 MIRRORED CHARTREUSE | mirrored crimson
7 PALE BEIGE | light olive
7 PLAID GREEN | pale indigo
7 VIBRANT PLUM | light lime
8 CLEAR GRAY | posh chartreuse
8 DARK CYAN | bright crimson
8 DOTTED INDIGO | striped indigo
8 LIGHT CYAN | dark tan
8 LIGHT LIME | clear fuchsia
8 LIGHT OLIVE | muted blue
8 MIRRORED CHARTREUSE | light plum
8 MIRRORED CRIMSON | shiny fuchsia
8 MIRRORED OLIVE | muted olive
8 PALE BEIGE | posh coral
8 PALE INDIGO | pale teal
8 PLAID GREEN | posh silver
8 VIBRANT PLUM | light silver
9 BRIGHT CRIMSON | dim yellow
9 CLEAR FUCHSIA | dotted gold
9 CLEAR GRAY | vibrant tomato
9 DARK CYAN | dull red
9 DARK TAN | dark brown
9 DOTTED INDIGO | faded turquoise
9 LIGHT CYAN | striped olive
9 LIGHT OLIVE | bright green
9 LIGHT SILVER | striped green
9 MIRRORED CHARTREUSE | dull magenta
9 MUTED OLIVE | dim coral
9 PALE BEIGE | posh fuchsia
9 POSH CHARTREUSE | mirrored teal
9 POSH CORAL | vibrant violet
9 SHINY FUCHSIA | bright silver
9 VIBRANT PLUM | drab indigo
10 BRIGHT CRIMSON | dim gray
10 BRIGHT GREEN | dark teal
10 CLEAR GRAY | pale turquoise
10 DIM YELLOW | dim lavender
10 DOTTED INDIGO | dim orange
10 DRAB INDIGO | dim black
10 DULL MAGENTA | muted chartreuse
10 DULL RED | dark lavender
10 LIGHT CYAN | bright cyan
10 LIGHT OLIVE | vibrant salmon
10 LIGHT SILVER | muted bronze
10 POSH CHARTREUSE | faded bronze
10 POSH FUCHSIA | faded fuchsia
10 STRIPED OLIVE | faded blue
10 VIBRANT TOMATO | pale gray
11 BRIGHT GREEN | dim white
11 CLEAR GRAY | dotted olive
11 DARK LAVENDER | wavy orange
11 DARK TEAL | dark salmon
11 DIM LAVENDER | muted salmon
11 DIM ORANGE | clear beige
11 DULL MAGENTA | plaid brown
11 FADED BRONZE | plaid gray
11 LIGHT CYAN | faded silver
11 MUTED BRONZE | wavy magenta
11 MUTED CHARTREUSE | wavy gold
11 PALE GRAY | pale lavender
11 PALE TURQUOISE | wavy gray
11 POSH CHARTREUSE | dim purple
11 VIBRANT TOMATO | striped gold
12 DARK SALMON | dull gold
12 DIM LAVENDER | striped indigo
12 DIM PURPLE | muted plum
12 DIM WHITE | faded gray
12 DOTTED OLIVE | clear magenta
12 DULL MAGENTA | muted beige
12 FADED BRONZE | vibrant chartreuse
12 FADED SILVER | faded green
12 MUTED SALMON | faded salmon
12 PALE GRAY | shiny olive
12 PLAID GRAY | light coral
12 POSH CHARTREUSE | dim crimson
13 DIM PURPLE | drab red
13 FADED BRONZE | bright crimson
13 FADED SILVER | plaid turquoise
13 LIGHT CORAL | vibrant red
13 MUTED BEIGE | pale cyan
13 MUTED PLUM | plaid silver
13 MUTED SALMON | wavy silver
13 PLAID GRAY | vibrant purple
13 VIBRANT CHARTREUSE | shiny turquoise
14 BRIGHT CRIMSON | dim yellow
14 MUTED BEIGE | muted bronze
14 PLAID GRAY | pale olive
14 VIBRANT PURPLE | muted teal
15 BRIGHT CRIMSON | dim gray
15 DIM YELLOW | dim lavender
15 MUTED BEIGE | pale orange
15 MUTED BRONZE | wavy magenta
15 MUTED TEAL | striped salmon
15 PALE OLIVE | faded green
15 PLAID GRAY | dull purple
15 VIBRANT PURPLE | muted cyan
16 DIM LAVENDER | muted salmon
16 MUTED CYAN | clear coral
16 VIBRANT PURPLE | mirrored crimson
17 DIM LAVENDER | striped indigo
17 MIRRORED CRIMSON | shiny fuchsia
17 MUTED SALMON | faded salmon
18 MUTED SALMON | wavy silver
18 SHINY FUCHSIA | bright silver
